ID;Cultivo;Nitrógeno;Fósforo;Potasio;Calcio;Magnesio;Cobre;Hierro;Zinc;Manganeso;Boro;Molibdeno;Silicio;Azufre;Objetivo;Descanso;Proteina
1;Kikuyo;3,28;0,46;3,96;0,32;0,30;13,9;139;59,5;108;27;0,03;0;0,20;1,50;30;20,00
2;Arroz;3,81;0,51;6,08;0,32;0,04;8,20;262;33;81;2,05;0,03;0;0,46;0,84;69;23,83
3;Cítricos;2,70;0,16;1,70;4,00;0,40;1,6;120;75;150;50;0,03;0;0,30;;;
4;Fríjol;4,00;0,25;2,50;1,75;0,55;2;300;60;180;50;0,03;0;0,75;;;
5;Aguacate;1,80;0,20;1,50;2,00;0,60;1,5;175;100;280;75;0,03;0;0,30;;;
6;Mango;1,50;0,20;1,25;0,35;0,40;30;200;80;200;100;0,03;0;0,45;;;
7;Papa;3,39;0,46;5,16;0,31;0,11;7,26;204;31;56;2,27;0,00;0,00;0,39;4,00;60;21,17
8;Chilli;4,00;0,54;6,67;0,33;0,00;8,81;305;36,00;105,00;1,92;0,03;0;0,51;1,60;0;25,00
